Afghanistan,,,2
Algeria,5,4,8
Argentina,91,92,91
Armenia,2,5,9
Australia,368,459,522
Austria,108,186,156
Azerbaijan,7,12,25
Bahamas,14,11,15
Bahrain,1,1,1
Barbados,,,1
Belarus,24,44,71
Belgium,98,197,173
Bermuda,,,1
Botswana,,1,
Brazil,109,175,191
Bulgaria,54,144,144
Burundi,1,1,
Cameroon,20,1,1
Canada,463,438,451
Chile,3,9,20
China,351,349,293
Colombia,5,9,14
Costa Rica,1,1,2
Croatia,58,54,37
Cuba,164,129,116
Curacao,,1,
Cyprus,,1,
Czech Republic,123,262,259
Denmark,179,241,177
Djibouti,,,1
Dominican Republic,3,2,2
Ecuador,1,1,
Egypt,7,8,12
Eritrea,,,1
Estonia,13,12,25
Ethiopia,22,9,22
Fiji,13,,
Finland,198,270,432
France,501,610,666
Gabon,,1,
Georgia,8,6,18
Germany,1301,1195,1260
Ghana,,1,22
Greece,62,109,84
Grenada,1,1,
Guatemala,,1,
Guyana,,,1
Haiti,1,1,5
Hungary,432,332,371
Iceland,,15,2
India,138,19,40
Individual Olympic Athletes,1,1,3
Indonesia,11,17,13
Iran,18,21,29
Iraq,,,1
Ireland,9,13,13
Israel,1,1,7
Italy,575,531,531
Ivory Coast,1,1,1
Jamaica,38,75,44
Japan,247,309,357
Jordan,1,,
Kazakhstan,20,25,32
Kenya,34,41,31
Kosovo,1,,
Kuwait,,,2
Kyrgyzstan,,1,2
Latvia,3,19,13
Lebanon,,2,2
Liechtenstein,2,2,5
Lithuania,6,7,48
Luxembourg,4,4,
Macedonia,,,1
Malaysia,,11,5
Mauritius,,,1
Mexico,30,26,54
Moldova,,3,5
Monaco,,,1
Mongolia,2,10,14
Montenegro,,14,
Morocco,6,5,12
Mozambique,1,,1
Namibia,,4,
Nepal,1,,
Netherlands,287,340,413
New Zealand,90,56,82
Niger,,1,1
Nigeria,23,30,46
North Korea,16,16,35
Norway,378,361,294
Pakistan,42,45,34
Panama,1,,2
Paraguay,,17,
Peru,1,14,
Philippines,,3,7
Poland,117,195,253
Portugal,4,11,26
Puerto Rico,1,2,6
Qatar,,1,4
Romania,161,200,292
Russia,1599,1170,1178
Saudi Arabia,,1,5
Senegal,,1,
Serbia,157,222,160
Slovakia,15,19,13
Slovenia,8,13,27
South Africa,32,47,52
South Korea,221,232,185
Spain,110,243,136
Sri Lanka,,2,
Sudan,,1,
Suriname,1,,1
Sweden,479,522,535
Switzerland,175,248,268
Syria,1,2,2
Taiwan,3,28,18
Tajikistan,1,1,2
Tanzania,,2,
Thailand,9,8,13
Togo,,,1
Tonga,,1,
Trinidad,7,8,22
Tunisia,3,3,7
Turkey,40,27,28
Uganda,2,3,2
UK,678,739,651
Ukraine,47,52,100
United Arab Emirates,1,,1
Uruguay,31,2,30
USA,2638,1641,1358
Uzbekistan,10,7,17
Venezuela,2,3,10
Vietnam,1,3,
"Virgin Islands, US",,1,
Zambia,,1,1
Zimbabwe,17,4,1
