name,Total_Medal
"Michael Fred Phelps, II",23
"Raymond Clarence ""Ray"" Ewry",10
Larysa Semenivna Latynina (Diriy-),9
"Frederick Carlton ""Carl"" Lewis",9
Paavo Johannes Nurmi,9
Mark Andrew Spitz,9
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",8
"Matthew Nicholas ""Matt"" Biondi",8
Ole Einar Bjrndalen,8
Usain St. Leo Bolt,8
Birgit Fischer-Schmidt,8
Sawao Kato,8
Nikolay Yefimovich Andrianov,7
Vra slavsk (-Odloilov),7
Viktor Ivanovych Chukarin,7
Aladr Gerevich (-Gerei),7
"Donald Arthur ""Don"" Schollander",7
Borys Anfiyanovych Shakhlin,7
Ryan Steven Lochte,6
Edoardo Mangiarotti,6
Nedo Nadi,6
Akinori Nakayama,6
Kristin Otto,6
Vitaly Venediktovich Shcherbo,6
Lidiya Pavlovna Skoblikova (-Polozkova),6
Amy Deloris Van Dyken (-Rouen),6
Gerard Theodor Hubert Van Innis,6
Maria Valentina Vezzali,6
Isabelle Regina Werth,6
Lyubov Ivanovna Yegorova,6
Viktor An,6
Marit Bjrgen,6
Allyson Michelle Felix,6
Gert Fridolf Fredriksson,6
"Christopher Andrew ""Chris"" Hoy",6
Rudolf Krpti,6
Jason Francis Kenny,6
Reiner Klimke,6
Pl dm Kovcs,6
Nathan Ghar-Jun Adrian,5
Thomas Alsgaard (Alsgrd-),5
Polina Hryhorivna Astakhova,5
Bonnie Kathleen Blair (-Cruikshank),5
Chen Ruolin,5
"Stephen Edward ""Steve"" Clark",5
Nadia Elena Comneci (-Conner),5
Georgeta Damian-Andrunache,5
"Charles Meldrum ""Charlie"" Daniels",5
Anastasiya Semyonovna Davydova,5
Krisztina Egerszegi,5
Yukio Endo,5
"Morris ""Bud"" Fisher",5
"Melissa Jeanette ""Missy"" Franklin",5
"Gary Wayne Hall, Jr.",5
Anton Heida,5
Eric Arthur Heiden,5
Nataliya Sergeyevna Ishchenko,5
"Thomas Michael ""Tom"" Jager",5
gnes Keleti-Srkny (Klein),5
"Nellya Vladimirovna ""Nelli"" Kim (-Achasov)",5
Danuta Kozk,5
"Alfred Page ""Al"" Lane",5
Larisa Yevgenyevna Lazutina (Ptitsyna-),5
"Kathleen Genevieve ""Katie"" Ledecky",5
"Willis Augustus Lee, Jr.",5
Ole Andreas Lilloe-Olsen,5
Elisabeta Oleniuc-Lip,5
Takashi Ono,5
Carl Townsend Osburn,5
Claudia Pechstein,5
Aaron Wells Peirsol,5
Aleksandr Vladimirovich Popov,5
"Stephen Geoffrey ""Steven"" Redgrave",5
Louis Marcel Richardet,5
"Viljo Eino ""Ville"" Ritola (Koukkari-)",5
Svetlana Alekseyevna Romashina,5
Martin Joseph Sheridan,5
Ian James Thorpe,5
Arnold Clas Robert Thunberg,5
Mitsuo Tsukahara,5
Dana Whitney Vollmer (-Grant),5
"Peter Johann ""Johnny"" Weissmuller",5
Bradley Marc Wiggins,5
Hans Gnter Winkler,5
Wu Minxia,5
Zou Kai,5
Nikolay Semyonovich Zimyatov,4
Kjetil Andr Aamodt,4
"Charles Benedict ""Ben"" Ainslie",4
Simon Ammann,4
Vladimir Nikolayevich Artyomov,4
Evelyn Ashford (-Washington),4
Ivar Eugen Ballangrud (Eriksen-),4
Ludger Beerbaum,4
Simone Arianne Biles,4
"Suzanne Brigit ""Sue"" Bird",4
"Francina Elsje ""Fanny"" Blankers-Koen",4
Kathrin Boron (-Kppen),4
"Michael Jay ""Mike"" Burton",4
Tamika Devonne Catchings,4
"Elizabeth Alyse ""Betty"" Cuthbert",4
Tams Darnyi,4
Inge de Bruijn,4
"Maxime Omer Mathieu ""Max"" Omer-Dcugis",4
Giuseppe Delfino,4
Deng Yaping,4
William Harrison Dillard,4
Christian Marie Auguste d'Oriola,4
Brbel Eckert-Wckel,4
Teresa Edwards,4
Paul Bert Elvstrm,4
"Kornelia Ender (-Matthes, -Grummt)",4
Janet Beth Evans,4
"Mohamed Muktar Jama ""Mo"" Farah",4
Ian Gordon Ferguson,4
Sven Fischer,4
Ramn Fonst Segundo,4
Dawn Lorraine Fraser,4
Fu Mingxia,4
Jen Fuchs (-Fekete),4
Lucien Alphonse Paul Gaudin,4
"Matthew ""Matt"" Grevers",4
Yevgeny Romanovich Grishin,4
Ricco Gro,4
Guo Jingjing,4
"Charles Archibald ""Archie"" Hahn",4
Jayna Hefford,4
John Frederick Hencken,4
Marcus Latimer Hurley,4
Kaori Icho,4
Doina Ignat,4
Jeon I-Gyeong,4
Edy Sixten Jernberg,4
Jin Jong-O,4
Michael Duane Johnson,4
Kim Su-Nyeong,4
Kosuke Kitajima,4
Yana Oleksandrivna Klochkova,4
"Johan Pietari ""Hannes"" Kolehmainen",4
"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",4
Robert Marek Korzeniowski,4
Johann Olav Koss,4
Janica Kosteli,4
"Alvin Christian ""Al"" Kraenzlein",4
Lenny Krayzelburg,4
Viktor Alekseyevich Krovopuskov,4
Galina Alekseyevna Kulakova,4
Gyz Kulcsr,4
Kevin Kuske,4
Andr Lange,4
Eric Otto Valdemar Lemming,4
"Lisbeth Constance ""Libby"" Lenton-Trickett",4
Lisa Deshawn Leslie (-Lockwood),4
Jason Edward Lezak,4
Li Xiaopeng,4
Einar Liberg,4
"James Davies ""Jim"" Lightbody",4
"Gregory Efthimios ""Greg"" Louganis",4
Roland Matthes,4
"Patricia Joan ""Pat"" McCormick (Keller-)",4
"Georg ""Georges"" Miez",4
Valentin Ivanovich Muratov,4
John Phillips Naber,4
Aleksey Yuryevich Nemov,4
Yelena Dmitriyevna Novikova-Belova,4
Matti Ensio Nyknen (-Paanala),4
"Alfred Adolph ""Al"" Oerter, Jr.",4
Jon C. Olsen,4
Otto Martin Olsen,4
Caroline Ouellette,4
"James Cleveland ""Jesse"" Owens",4
Charles Ferdinand Pahud de Mortanges,4
Ivan Patzaichin,4
Carlo Pavesi,4
Matthew Clive Pinsent,4
Stanislav Alekseyevich Pozdnyakov,4
Meyer Prinstein,4
Oreste Puliti,4
"Paolo Francesco ""Paul""  Radmilovic",4
Sanya Richards-Ross,4
Iain Murray Rose,4
Henri Julius Reverony Saint Cyr,4
Vladimir Valeryevich Salnikov,4
Allison Rodgers Schmitt,4
Carl Schuhmann,4
"Melvin Winfield ""Mel"" Sheppard",4
Viktor Aleksandrovich Sidyak,4
Raisa Petrovna Smetanina,4
Lloyd Spencer Spooner,4
Konrad Stheli,4
Viorica Susanu,4
Gunde Anders Svan,4
Emil Hegle Svendsen,4
Ecaterina (Katalin-) Szabo (-Tamas),4
Diana Lurena Taurasi,4
Henry Taylor,4
Aleksandr Ivanovich Tikhonov,4
"Dara Grace Torres (-Hoffman, -Minas)",4
Giovanna Trillini,4
Laura Rebecca Trott (-Kenny),4
Lyudmila Ivanovna Turishcheva (-Borzova),4
Nicole Uphoff-Becker (-Selke),4
Lasse Artturi Virn,4
Katrin Wagner-Augustin,4
Wang Meng,4
Wang Nan,4
Thomas Lars Wassberg,4
Hayley Marie Wickenheiser,4
Serena Jamika Williams,4
Venus Ebony Starr Williams,4
"Irene Karlijn ""Ireen"" Wst",4
Yang Wei,4
Anastasiya Nikolayevna Yermakova,4
Giorgio Zampori,4
Emil Ztopek,4
Zhang Yining,4
"Leontine Martha Henrica Petronella ""Leontien"" Zijl",4
Felix Loch,3
"Eleanor ""Elle"" Logan",3
Mijan Lpez Nez,3
Alejandrina Mireya Luis Hernndez,3
Ma Lin,3
Ma Long,3
Christopher Paul MacDonald,3
Helene Emma Madison,3
Tianna Madison-Bartoletta,3
Luigi Maiocco,3
Valentyn Hryhorovych Mankin,3
Eero Antero Mntyranta,3
"Angelina L. ""Angel"" Martino (Myers-, -Sims)",3
Paul Michel Pierre Adrien Masson (-Nossam),3
"Hendrika Wilhelmina ""Rie"" Mastenbroek (-Kuiper, -d",3
Misty Erie May-Treanor,3
Marnie Elizabeth McBean,3
"James Price ""Jimmy"" McLane, Jr.",3
Richard John Hannay Meade,3
Mary Terstegge Meagher (-Plant),3
Aleksandr Vasilyevich Medved,3
LaShawn Merritt,3
Caren Metschuck (-Mahn),3
"Deborah Elizabeth ""Debbie"" Meyer (-Weber)",3
Heather Blaine Mitts (-Feeley),3
Tams Molnr,3
"James Paul ""Jim"" Montgomery",3
"Pedro Pablo Morales, Jr.",3
Daniel Yves Morelon,3
Thomas Morgenstern,3
Volodymyr Ivanovych Morozov,3
Bobby Joe Morrow,3
Ryan Murphy,3
Halil Mutlu,3
Aldo Nadi,3
Harald Natvig,3
Vladimir Aliverovich Nazlymov,3
Meinhard Nehmer,3
"Sandra Lynn ""Sandy"" Neilson (-Bell)",3
Romeo Neri,3
Gunda Niemann-Stirnemann-Kleemann,3
Tadahiro Nomura,3
"Martha (Mrta) Maria Norelius (-McAllister, -Wright",3
Lars Daniel Norling,3
Anke Nothnagel-von Seck,3
Leah Marie O'Brien-Amico,3
Heather Ann OReilly (-Werry),3
Lszl Papp,3
Vladimir Vladimirovich Parfenovich,3
Park Seong-Hyeon,3
Christie Patricia Pearce-Rampone,3
Marie-Jos Juliana Prec (Hontas-),3
Tatyana Dmitriyevna Petrenko-Samusenko,3
Paul Henry Pilgrim,3
Cherie Piper,3
Constana Pipot-Burcic,3
Andrea Pollack (-Pinske),3
Ctlina Ponor,3
Ramona Portwich,3
Tamara Natanovna Press,3
Aleksandr Pavlovich Ragulin,3
"Alexandra Rose ""Aly"" Raisman",3
Lszl Rajcsnyi,3
"Peter ""Pete"" Reed",3
"Rica Reinisch (-Assmann, -Neumann)",3
Anfisa Anatolyevna Reztsova (Romanova-),3
"Kimberly Susan ""Kim"" Rhode (-Harryman)",3
Franco Riccardi,3
"Stephanie Louise ""Steph"" Rice",3
Ulrike Richter (-Schmidt),3
"Irina Konstantinovna Rodnina (-Zaytseva, -Minkovsk",3
Ralph Waldo Rose,3
Norman DeMille Ross,3
Antonio Rossi,3
"Jeffrey Norman ""Jeff"" Rouse",3
Florian Georges Philippe Rousseau,3
"Wilma Glodean Rudolph (-Ward, -Eldridge)",3
"Matthew Morgan ""Matt"" Ryan",3
Martina Sblkov,3
Yevgeny Viktorovich Sadovy,3
"Anton Engelbert ""Toni"" Sailer",3
Viktor Saneyev,3
Flix Savn Fabr,3
Buvaysar Khamidovich Saytiyev,3
"Adrie ""Ard"" Schenk",3
"Verena ""Vreni"" Schneider",3
Ollie Martin Schriver,3
Jochen Schmann,3
Ralf Schumann,3
Karl Alfred Markus Schwarzmann,3
Katja Seizinger (-Weber),3
Viorica Daniela Siliva (-Harper),3
Udham Singh Kular,3
Randhir Singh Gentle,3
"Balbir Singh Dosanjh, Sr.",3
Charles Sydney Smith,3
"Katherine May ""Katie"" Smith",3
Michelle Marie Smith (-De Bruin),3
Peter George Snell,3
Rebecca Soni,3
Colleen Sostorics,3
Kim St-Pierre,3
Dawn Michelle Staley,3
Renate Stecher (Meiner-),3
"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",3
Tefilo Stevenson Laurence,3
Botond Storcz,3
Sharon Marie Stouder (-Clark),3
Shirley Barbara Strickland de la Hunty,3
Leon tukelj,3
Naim Sleymanolu,3
Sun Yang,3
"Alfred Gomer Albert ""Alf"" Swahn",3
Oscar Gomer Swahn,3
Sheryl Denice Swoopes,3
Gabriella Timea Szab,3
Zoltn Szcsi,3
Irena Szewiska-Kirszenstein,3
Ashley Tara Tappin (-Doussan),3
"Angelo F. Taylor, Jr.",3
Artur Borisovich Taymazov,3
Monica Theodorescu,3
Petria Ann Thomas (-Jones),3
"Maria Aaltje ""Marianne"" Timmer",3
Alberto Tomba,3
James Bruce Tomkins,3
"Gwendolyn Lenna ""Gwen"" Torrence (-Waller, -Smith)",3
Regla Radameris Torres Herrera,3
Vladislav Aleksandrovich Tretyak,3
"Andrew ""Andy"" Triggs Hodge",3
Wyomia Tyus (-Simburg),3
Kohei Uchimura,3
Vegard Ulvang,3
Yelena Valeryevna Vlbe (Trubitsyna-),3
Pieter Cornelis Martijn van den Hoogenband,3
Adolf Dirk Coenraad van der Voort van Zijp,3
Yvonne Maria Therse van Gennip,3
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven",3
Edmond Van Moer,3
Francesco Verri,3
Zoltn Imre dn von Halmay,3
"Susan Christina ""Chris"" von Saltza (-Olmstead)",3
"Michael Allen ""Mike"" Wall",3
Kerri Lee Walsh Jennings,3
Wang Hao,3
Jeremy Matthew Wariner,3
"Lillian Debra ""Pokey"" Watson (-Richardson)",3
Ulrich Wehling,3
Hermann Otto Ludwig Weingrtner,3
Jens Weiflog,3
Carl Oscar Westergren,3
"Malvin Groston ""Mal"" Whitfield",3
"Katarina ""Kati"" Wilhelm",3
Frank Clifford Wykoff,3
Xiong Ni,3
Vyacheslav Vladimirovich Yekimov,3
Saori Yoshida,3
Yun Mi-Jin,3
Aleksandra Ivanovna Zabelina,3
Jan elezn,3
Zhang Jike,3
Viktor Frantsevich Zhdanovich,3
Zhou Yang,3
Paavo Johannes Aaltonen,3
Agostino Abbagnale,3
Meghan Christina Agosta (-Marciano),3
Richard James Allen,3
Simona Amnar (-Tabr),3
Hjalmar Johan Andersen,3
Agneta Monica Andersson,3
Carmelo Kyan Anthony,3
Gillian Mary Apps,3
Kristin Ann Armstrong (-Savola),3
Seimone Delicia Augustus,3
