Country,Bronze,Gold,Silver
Afghanistan,2,,
Algeria,8,5,4
Argentina,91,91,92
Armenia,9,2,5
Australia,522,368,459
Austria,156,108,186
Azerbaijan,25,7,12
Bahamas,15,14,11
Bahrain,1,1,1
Barbados,1,,
Belarus,71,24,44
Belgium,173,98,197
Bermuda,1,,
Botswana,,,1
Brazil,191,109,175
Bulgaria,144,54,144
Burundi,,1,1
Cameroon,1,20,1
Canada,451,463,438
Chile,20,3,9
China,293,351,349
Colombia,14,5,9
Costa Rica,2,1,1
Croatia,37,58,54
Cuba,116,164,129
Curacao,,,1
Cyprus,,,1
Czech Republic,259,123,262
Denmark,177,179,241
Djibouti,1,,
Dominican Republic,2,3,2
Ecuador,,1,1
Egypt,12,7,8
Eritrea,1,,
Estonia,25,13,12
Ethiopia,22,22,9
Fiji,,13,
Finland,432,198,270
France,666,501,610
Gabon,,,1
Georgia,18,8,6
Germany,1260,1301,1195
Ghana,22,,1
Greece,84,62,109
Grenada,,1,1
Guatemala,,,1
Guyana,1,,
Haiti,5,1,1
Hungary,371,432,332
Iceland,2,,15
India,40,138,19
Individual Olympic Athletes,3,1,1
Indonesia,13,11,17
Iran,29,18,21
Iraq,1,,
Ireland,13,9,13
Israel,7,1,1
Italy,531,575,531
Ivory Coast,1,1,1
Jamaica,44,38,75
Japan,357,247,309
Jordan,,1,
Kazakhstan,32,20,25
Kenya,31,34,41
Kosovo,,1,
Kuwait,2,,
Kyrgyzstan,2,,1
Latvia,13,3,19
Lebanon,2,,2
Liechtenstein,5,2,2
Lithuania,48,6,7
Luxembourg,,4,4
Macedonia,1,,
Malaysia,5,,11
Mauritius,1,,
Mexico,54,30,26
Moldova,5,,3
Monaco,1,,
Mongolia,14,2,10
Montenegro,,,14
Morocco,12,6,5
Mozambique,1,1,
Namibia,,,4
Nepal,,1,
Netherlands,413,287,340
New Zealand,82,90,56
Niger,1,,1
Nigeria,46,23,30
North Korea,35,16,16
Norway,294,378,361
Pakistan,34,42,45
Panama,2,1,
Paraguay,,,17
Peru,,1,14
Philippines,7,,3
Poland,253,117,195
Portugal,26,4,11
Puerto Rico,6,1,2
Qatar,4,,1
Romania,292,161,200
Russia,1178,1599,1170
Saudi Arabia,5,,1
Senegal,,,1
Serbia,160,157,222
Slovakia,13,15,19
Slovenia,27,8,13
South Africa,52,32,47
South Korea,185,221,232
Spain,136,110,243
Sri Lanka,,,2
Sudan,,,1
Suriname,1,1,
Sweden,535,479,522
Switzerland,268,175,248
Syria,2,1,2
Taiwan,18,3,28
Tajikistan,2,1,1
Tanzania,,,2
Thailand,13,9,8
Togo,1,,
Tonga,,,1
Trinidad,22,7,8
Tunisia,7,3,3
Turkey,28,40,27
Uganda,2,2,3
UK,651,678,739
Ukraine,100,47,52
United Arab Emirates,1,1,
Uruguay,30,31,2
USA,1358,2638,1641
Uzbekistan,17,10,7
Venezuela,10,2,3
Vietnam,,1,3
"Virgin Islands, US",,,1
Zambia,1,,1
Zimbabwe,1,17,4
