id,name,sex,height,weight,team,games,year,season,city,sport,event,medal
4,Edgar Lindenau Aabye,M,NA,NA,Denmark/Sweden,1900 Summer,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
17,Paavo Johannes Aaltonen,M,175,64,Finland,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
17,Paavo Johannes Aaltonen,M,175,64,Finland,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
17,Paavo Johannes Aaltonen,M,175,64,Finland,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
20,Kjetil Andr Aamodt,M,176,85,Norway,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
20,Kjetil Andr Aamodt,M,176,85,Norway,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
20,Kjetil Andr Aamodt,M,176,85,Norway,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
20,Kjetil Andr Aamodt,M,176,85,Norway,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
21,Ragnhild Margrethe Aamodt,F,163,NA,Norway,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
40,Roald Edgar Aas,M,NA,NA,Norway,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
42,Thomas Valentin Aas,M,NA,NA,Taifun,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
56,Ren Abadie,M,NA,NA,France,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
72,Aleksey Aleksandrovich Abalmasov,M,180,83,Belarus,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
73,Luc Abalo,M,182,86,France,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
73,Luc Abalo,M,182,86,France,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
76,Jouan Patrice Abanda Etong,M,185,82,Cameroon,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold
80,Jos Mara Abarca Plotas,M,186,83,Spain,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
85,Alejandro Abascal Garca,M,181,82,Spain,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
93,Jol Marc Abati,M,190,85,France,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
106,Agostino Abbagnale,M,188,96,Italy,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
106,Agostino Abbagnale,M,188,96,Italy,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
106,Agostino Abbagnale,M,188,96,Italy,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
107,Carmine Abbagnale,M,182,90,Italy,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
107,Carmine Abbagnale,M,182,90,Italy,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,M,187,97,Italy,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,M,187,97,Italy,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
150,Margaret Ives Abbott (-Dunne),F,NA,NA,United States,1900 Summer,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
297,Lala Abdul Rashid,M,169,91,Pakistan,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
316,Zagalav Abdulbekovich Abdulbekov,M,160,62,Soviet Union,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
337,Mukhammad Kadyr Abdullayev,M,169,63,Uzbekistan,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
339,Namiq Yadulla Abdullayev,M,167,55,Azerbaijan,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
351,Julius Shareef Abdur-Rahim,M,202,104,United States,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
359,Andrey Khakimovich Abduvaliyev,M,190,125,Unified Team,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
367,Masashi Abe,M,175,64,Japan,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Gold
392,George Gordon Abel,M,NA,NA,Canada,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
401,Abelardo Fernndez Antua,M,NA,NA,Spain,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold
404,"Louis Grenville ""Lou"" Abell",M,NA,NA,Vesper Boat Club,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
404,"Louis Grenville ""Lou"" Abell",M,NA,NA,Vesper Boat Club,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
411,Gezahgne Abera,M,166,58,Ethiopia,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold
423,Michael Brent Abernathy,M,182,84,United States,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
443,Ismail Abilov (-Nizamolu),M,172,82,Bulgaria,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
454,"Edgar Allen ""Ed"" Ablowich",M,182,68,United States,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
507,Attila brahm,M,192,88,Hungary,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
519,Harold Maurice Abrahams,M,183,75,Great Britain,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
